"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected"
"pavlovia","0","3522","0.0-0.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","","","","","","","",""
"preload","1","4181","0.0-1.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","true","false","[]","[]","[]","","","","","","","",""
"html-keyboard-response","2","7009","0.0-2.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","2827","Welcome! Please press any key to begin."," ","","","","",""
"html-keyboard-response","3","9516","0.0-3.0-0.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","2504","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You belong to a community, known as the Tany, who traditionally speak the Taneg language.</p> 
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
    <p style=""font-size:22px;"">You did not grow up speaking it, but your grandparents did, and your parents spoke some, and you have decided to become a speaker!</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","4","11761","0.0-3.0-1.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","1234","
    <p style=""font-size:22px;"">You think this is an important moment.</p> 
    <p style=""font-size:22px;"">A related language, Drogek, is now barely spoken at all! Now almost everyone in the Drogy community speaks only English, with only a few enthusiasts keeping Drogek alive.</p> 
    <p style=""font-size:22px;"">You, like many Tany people, want to avoid this future for Taneg. Recording it for future generations is not enough; you think the only way to keep it alive is for people like you to learn and use the language.</p>
    <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","5","14198","0.0-3.0-2.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","1425","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","6","16109","0.0-3.0-3.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","900","
    <p style=""font-size:22px;"">Be part of a bright future for Taneg! You don’t want its future to be like Drogek’s…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","7","18680","0.0-3.0-4.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","1565","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","8","26408","0.0-3.0-5.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","6719","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","3","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true",""
"html-keyboard-response","9","27451","0.0-4.0","69f8fa1a9013b54694ce23be","6a42e2df51d202e3a70b4753","6a42e3f418a923839ea218cb","ImmersiveDrogek","u9m6qq2sxn","0","","","","","","1042","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    "," ","","","","",""
