"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected"
"html-keyboard-response","14","152015","0.0-5.1-0.1-3.1","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","271","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","15","168388","0.0-5.1-1.1","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","15364","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Taneg is traditionally associated with the Tany people"">
          <label for=""opt0"" style=""font-size:20px;"">Taneg is traditionally associated with the Tany people</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""Most Tany children grow up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">Most Tany children grow up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Minority languages are often at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Minority languages are often at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Taneg is traditionally associated with the Tany people"",""Barely any Tany people speak Taneg now"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Minority languages are often at risk of dying out""]"
"html-keyboard-response","16","177427","0.0-5.2-0.2-0.2","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","7210","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","17","183429","0.0-5.2-0.2-1.2","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","4987","
    
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","18","185684","0.0-5.2-0.2-2.2","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","1239","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","19","187256","0.0-5.2-0.2-3.2","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","568","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","20","204128","0.0-5.2-1.2","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","15859","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Taneg is traditionally associated with the Tany people"">
          <label for=""opt0"" style=""font-size:20px;"">Taneg is traditionally associated with the Tany people</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""Most Tany children grow up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">Most Tany children grow up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Minority languages are often at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Minority languages are often at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Taneg is traditionally associated with the Tany people"",""Barely any Tany people speak Taneg now"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Minority languages are often at risk of dying out""]"
"html-keyboard-response","21","217820","0.0-5.3-0.3-0.3","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","10975","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","22","220437","0.0-5.3-0.3-1.3","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","1608","
    
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","23","223103","0.0-5.3-0.3-2.3","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","1657","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","24","224990","0.0-5.3-0.3-3.3","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","883","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","25","243782","0.0-5.3-1.3","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","17790","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Taneg is traditionally associated with the Tany people"">
          <label for=""opt0"" style=""font-size:20px;"">Taneg is traditionally associated with the Tany people</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""Most Tany children grow up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">Most Tany children grow up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Minority languages are often at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Minority languages are often at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Taneg is traditionally associated with the Tany people"",""Barely any Tany people speak Taneg now"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Most Tany children grow up speaking Taneg"",""Minority languages are often at risk of dying out""]"
"html-keyboard-response","26","247407","0.0-5.4-0.4-0.4","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","2383","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","27","248924","0.0-5.4-0.4-1.4","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","508","
    
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","28","250418","0.0-5.4-0.4-2.4","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","493","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","29","251751","0.0-5.4-0.4-3.4","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","320","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","30","264156","0.0-5.4-1.4","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","11387","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Taneg is traditionally associated with the Tany people"">
          <label for=""opt0"" style=""font-size:20px;"">Taneg is traditionally associated with the Tany people</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""Most Tany children grow up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">Most Tany children grow up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Minority languages are often at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Minority languages are often at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Taneg is traditionally associated with the Tany people"",""Barely any Tany people speak Taneg now"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Minority languages are often at risk of dying out""]"
"html-keyboard-response","31","269155","0.0-5.5-0.5-0.5","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","3960","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","32","276896","0.0-5.5-0.5-1.5","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","6740","
    
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","33","281118","0.0-5.5-0.5-2.5","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","3207","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-keyboard-response","34","283421","0.0-5.5-0.5-3.5","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","1289","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
"html-button-response","35","305467","0.0-5.5-1.5","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","21033","
        <p style=""font-size:22px;"">Select <strong>all</strong> statements that are true:</p>
        
        <div>
          <input type=""checkbox"" id=""opt0"" value=""Taneg is traditionally associated with the Tany people"">
          <label for=""opt0"" style=""font-size:20px;"">Taneg is traditionally associated with the Tany people</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt1"" value=""Barely any Tany people speak Taneg now"">
          <label for=""opt1"" style=""font-size:20px;"">Barely any Tany people speak Taneg now</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt2"" value=""Less than half the Tany population speaks Taneg regularly"">
          <label for=""opt2"" style=""font-size:20px;"">Less than half the Tany population speaks Taneg regularly</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt3"" value=""Everyone in the community also speaks English"">
          <label for=""opt3"" style=""font-size:20px;"">Everyone in the community also speaks English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt4"" value=""Most Tany children grow up speaking Taneg"">
          <label for=""opt4"" style=""font-size:20px;"">Most Tany children grow up speaking Taneg</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt5"" value=""Taneg is quite similar to English"">
          <label for=""opt5"" style=""font-size:20px;"">Taneg is quite similar to English</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt6"" value=""Minority languages are often at risk of dying out"">
          <label for=""opt6"" style=""font-size:20px;"">Minority languages are often at risk of dying out</label>
        </div>
      
        <div>
          <input type=""checkbox"" id=""opt7"" value=""The best way to keep minority languages alive is by recording them for future generations"">
          <label for=""opt7"" style=""font-size:20px;"">The best way to keep minority languages alive is by recording them for future generations</label>
        </div>
      
        <br>
      ","0","info_comprehension","","","false","[""Taneg is traditionally associated with the Tany people"",""Barely any Tany people speak Taneg now"",""Less than half the Tany population speaks Taneg regularly"",""Everyone in the community also speaks English"",""Minority languages are often at risk of dying out""]"
"html-keyboard-response","36","319074","0.0-5.6-0.6-0.6","6a0398d1bf7e41b35e460dd1","6a42e2df51d202e3a70b4753","6a42e749caf578fd6b018fe1","NonImmersiveNoDrogek","6xttgm8a62","0","","","","","","9968","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","",""
