"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","key_press","foil","question_order"
"pavlovia","0","1448","0.0-0.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","","","","","","","","","","","",""
"preload","1","4485","0.0-1.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","true","false","[]","[]","[]","","","","","","","","","","","",""
"html-keyboard-response","2","11194","0.0-2.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","6708","Welcome! Please press any key to begin."," ","","","","","","","","",""
"html-keyboard-response","3","79605","0.0-3.0-0.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","68410","
    <img src=""img/landscape.jpg"" style=""max-width:400px; display:block; margin:0 auto 20px;"">
    <p style=""font-size:22px;"">You are about to learn a language, traditionally spoken by the Tany people, called Taneg.</p>  
    <p style=""font-size:22px;"">By now, speakers of Taneg are in the minority. About 20% of the population speaks it regularly, including some children, but everyone also speaks English.</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","","",""
"html-keyboard-response","4","98573","0.0-3.0-1.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","17965","
    
    <p style=""font-size:22px;"">This is an important moment.</p> 
    <p style=""font-size:22px;"">Minority languages like this often die out, or are left with only a few enthusiasts keeping them alive.</p> 
    <p style=""font-size:22px;"">The Tany people want to avoid this future for Taneg. Recording it for future generations is not enough; they think the only way to keep it alive is for people to learn and use the language.</p>
      <img src=""img/DrogekTrend.png"" style=""max-width:600px; display:block; margin:0 auto 20px;"">
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","","",""
"html-keyboard-response","5","105027","0.0-3.0-2.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","5453","
    <p style=""font-size:22px;"">Today you’ll learn just a small part of the language.</p> 
    <p style=""font-size:22px;"">You know that Taneg is quite different from English, so you’ll need to pay careful attention to how it works.</p>
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","","",""
"html-keyboard-response","6","110511","0.0-3.0-3.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","4483","
    <p style=""font-size:22px;"">Do your best to learn Taneg! If people don’t learn it, it could die out…</p> 
      <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","","",""
"html-keyboard-response","7","119271","0.0-3.0-4.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","7757","
    <p style=""font-size:22px;"">While you're learning Taneg, please remain focused on this app, and please do not switch to other tabs!</p>
    <p style=""font-size:22px;"">But please do <strong>not</strong> make notes! We want to see how well you do just by engaging with the app!</p>
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>
      "," ","","","","","","","","",""
"html-button-response","8","129735","0.0-3.0-5.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","9461","
  <p style=""font-size:22px;"">Let's see if you were paying attention!</p>
  <p style=""font-size:20px;"">Which of the following are you allowed to do while learning Taneg?</p>
","1","comprehension_check","Engage with the app without making notes","Engage with the app without making notes","true","","","","",""
"html-keyboard-response","9","133132","0.0-4.0","66d1fdd400acfdbc181f41e0","6a42e2df51d202e3a70b4753","6a42e7c90c322ba81e6e71bd","NonImmersiveNoDrogek","g0o77sbvc2","0","2","","","","","","3396","
    <p style=""font-size:20px;"">Good! You should not take notes, switch tabs, or use a dictionary!</p> 
    <p style=""font-size:20px;""><i>Press any key to continue.</i></p>

    "," ","","","","","","","","",""
